# =========================================================================
#		  GRAMPA: MUL-tree reconciliation
#			09.05.2017 | 05:00:43
# LOG 05.00.43: Number of processes:                                       2
# LOG 05.00.55: The input species tree with internal nodes labeled:        ((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,((MOCCI,ISCAP)<5>,TURTI)<6>)<7>
# LOG 05.00.55: Input species tree is:                                     Singly-labeled
# LOG 05.00.55: No H1 node defined                                         Searching all possible H1 nodes.
# LOG 05.00.55: No H2 node defined                                         Searching all possible H2 nodes.
# LOG 05.00.55: Using gene trees in file:                                  chelicerata-gt-final-notung.txt
# LOG 05.00.55: Total gene trees:                                          8678
# LOG 05.00.55: Main results and logs will be written to file:             grampa-05.00.43/grampa_out.txt
# LOG 05.00.55: The number of groups for each tree will be calculated:     grampa-05.00.43/grampa_checknums.txt
# LOG 05.00.55: Filtered trees will be saved (if necessary):               grampa-05.00.43/grampa_trees_filtered.txt
# LOG 05.00.55: Filtering gene trees with # of polyploid groups over:      8
# LOG 05.00.55: Detailed results will be written to file:                  grampa-05.00.43/grampa_det.txt
# LOG 05.00.55: Detailed output will contain:                              Reconciliation scores only
# LOG 05.15.22: Filtered trees:                                            443
# LOG 05.15.22: Final tree count for reconciliations:                      8235
# ---------
# Tree #	H1 node	H2 node	Tree string	Total score
ST		((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,((MOCCI,ISCAP)<5>,TURTI)<6>)<7>	62584
MT-91	<1>	<4>	(((CSCUL,(LRECL,(SMIMO,(LHESP+,PTEPI+)<1>)<2>)<3>)<4>,(LHESP*,PTEPI*)<5>)<6>,((MOCCI,ISCAP)<7>,TURTI)<8>)<9>	70084
MT-92	<1>	<5>	((CSCUL,(LRECL,(SMIMO,(LHESP+,PTEPI+)<1>)<2>)<3>)<4>,(((MOCCI,ISCAP)<5>,(LHESP*,PTEPI*)<6>)<7>,TURTI)<8>)<9>	69736
MT-93	<1>	ISCAP	((CSCUL,(LRECL,(SMIMO,(LHESP+,PTEPI+)<1>)<2>)<3>)<4>,((MOCCI,(ISCAP,(LHESP*,PTEPI*)<5>)<6>)<7>,TURTI)<8>)<9>	68232
MT-94	<7>	<7>	(((CSCUL+,(LRECL+,(SMIMO+,(LHESP+,PTEPI+)<1>)<2>)<3>)<4>,((MOCCI+,ISCAP+)<5>,TURTI+)<6>)<7>,((CSCUL*,(LRECL*,(SMIMO*,(LHESP*,PTEPI*)<8>)<9>)<10>)<11>,((MOCCI*,ISCAP*)<12>,TURTI*)<13>)<14>)<15>	67083
MT-95	CSCUL	TURTI	((CSCUL+,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,((MOCCI,ISCAP)<5>,(TURTI,CSCUL*)<6>)<7>)<8>	66665
MT-96	CSCUL	LHESP	((CSCUL+,(LRECL,(SMIMO,((LHESP,CSCUL*)<1>,PTEPI)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	69036
MT-97	CSCUL	<3>	((CSCUL+,((LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>,CSCUL*)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	71017
MT-98	CSCUL	LRECL	((CSCUL+,((LRECL,CSCUL*)<1>,(SMIMO,(LHESP,PTEPI)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	68371
MT-99	CSCUL	PTEPI	((CSCUL+,(LRECL,(SMIMO,(LHESP,(PTEPI,CSCUL*)<1>)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	71920
MT-100	CSCUL	<2>	((CSCUL+,(LRECL,((SMIMO,(LHESP,PTEPI)<1>)<2>,CSCUL*)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	72328
MT-101	CSCUL	<1>	((CSCUL+,(LRECL,(SMIMO,((LHESP,PTEPI)<1>,CSCUL*)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	72937
MT-102	CSCUL	<7>	(((CSCUL+,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,((MOCCI,ISCAP)<5>,TURTI)<6>)<7>,CSCUL*)<8>	68369
MT-103	CSCUL	CSCUL	(((CSCUL+,CSCUL*)<1>,(LRECL,(SMIMO,(LHESP,PTEPI)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	69247
MT-104	CSCUL	MOCCI	((CSCUL+,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,(((MOCCI,CSCUL*)<5>,ISCAP)<6>,TURTI)<7>)<8>	67556
MT-105	CSCUL	<6>	((CSCUL+,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,(((MOCCI,ISCAP)<5>,TURTI)<6>,CSCUL*)<7>)<8>	70408
MT-106	CSCUL	SMIMO	((CSCUL+,(LRECL,((SMIMO,CSCUL*)<1>,(LHESP,PTEPI)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	71055
MT-107	CSCUL	<4>	(((CSCUL+,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,CSCUL*)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	71017
MT-108	CSCUL	<5>	((CSCUL+,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,(((MOCCI,ISCAP)<5>,CSCUL*)<6>,TURTI)<7>)<8>	69578
MT-109	CSCUL	ISCAP	((CSCUL+,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,((MOCCI,(ISCAP,CSCUL*)<5>)<6>,TURTI)<7>)<8>	68154
MT-110	MOCCI	TURTI	((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,((MOCCI+,ISCAP)<5>,(TURTI,MOCCI*)<6>)<7>)<8>	66439
MT-111	MOCCI	LHESP	((CSCUL,(LRECL,(SMIMO,((LHESP,MOCCI*)<1>,PTEPI)<2>)<3>)<4>)<5>,((MOCCI+,ISCAP)<6>,TURTI)<7>)<8>	69236
MT-112	MOCCI	<3>	((CSCUL,((LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>,MOCCI*)<4>)<5>,((MOCCI+,ISCAP)<6>,TURTI)<7>)<8>	72895
MT-113	MOCCI	LRECL	((CSCUL,((LRECL,MOCCI*)<1>,(SMIMO,(LHESP,PTEPI)<2>)<3>)<4>)<5>,((MOCCI+,ISCAP)<6>,TURTI)<7>)<8>	68622
MT-114	MOCCI	PTEPI	((CSCUL,(LRECL,(SMIMO,(LHESP,(PTEPI,MOCCI*)<1>)<2>)<3>)<4>)<5>,((MOCCI+,ISCAP)<6>,TURTI)<7>)<8>	72127
MT-115	MOCCI	<2>	((CSCUL,(LRECL,((SMIMO,(LHESP,PTEPI)<1>)<2>,MOCCI*)<3>)<4>)<5>,((MOCCI+,ISCAP)<6>,TURTI)<7>)<8>	73202
MT-116	MOCCI	<1>	((CSCUL,(LRECL,(SMIMO,((LHESP,PTEPI)<1>,MOCCI*)<2>)<3>)<4>)<5>,((MOCCI+,ISCAP)<6>,TURTI)<7>)<8>	73303
MT-117	MOCCI	<7>	(((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,((MOCCI+,ISCAP)<5>,TURTI)<6>)<7>,MOCCI*)<8>	68202
MT-118	MOCCI	CSCUL	(((CSCUL,MOCCI*)<1>,(LRECL,(SMIMO,(LHESP,PTEPI)<2>)<3>)<4>)<5>,((MOCCI+,ISCAP)<6>,TURTI)<7>)<8>	71332
MT-119	MOCCI	MOCCI	((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,(((MOCCI+,MOCCI*)<5>,ISCAP)<6>,TURTI)<7>)<8>	66946
MT-120	MOCCI	<6>	((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,(((MOCCI+,ISCAP)<5>,TURTI)<6>,MOCCI*)<7>)<8>	69912
MT-121	MOCCI	SMIMO	((CSCUL,(LRECL,((SMIMO,MOCCI*)<1>,(LHESP,PTEPI)<2>)<3>)<4>)<5>,((MOCCI+,ISCAP)<6>,TURTI)<7>)<8>	71313
MT-122	MOCCI	<4>	(((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,MOCCI*)<5>,((MOCCI+,ISCAP)<6>,TURTI)<7>)<8>	72012
MT-123	MOCCI	<5>	((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,(((MOCCI+,ISCAP)<5>,MOCCI*)<6>,TURTI)<7>)<8>	69028
MT-124	MOCCI	ISCAP	((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,((MOCCI+,(ISCAP,MOCCI*)<5>)<6>,TURTI)<7>)<8>	69028
MT-125	<6>	LHESP	((CSCUL,(LRECL,(SMIMO,((LHESP,((MOCCI*,ISCAP*)<1>,TURTI*)<2>)<3>,PTEPI)<4>)<5>)<6>)<7>,((MOCCI+,ISCAP+)<8>,TURTI+)<9>)<10>	68782
MT-126	<6>	<3>	((CSCUL,((LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>,((MOCCI*,ISCAP*)<4>,TURTI*)<5>)<6>)<7>,((MOCCI+,ISCAP+)<8>,TURTI+)<9>)<10>	70335
MT-127	<6>	LRECL	((CSCUL,((LRECL,((MOCCI*,ISCAP*)<1>,TURTI*)<2>)<3>,(SMIMO,(LHESP,PTEPI)<4>)<5>)<6>)<7>,((MOCCI+,ISCAP+)<8>,TURTI+)<9>)<10>	67290
MT-128	<6>	PTEPI	((CSCUL,(LRECL,(SMIMO,(LHESP,(PTEPI,((MOCCI*,ISCAP*)<1>,TURTI*)<2>)<3>)<4>)<5>)<6>)<7>,((MOCCI+,ISCAP+)<8>,TURTI+)<9>)<10>	71627
MT-129	<6>	<2>	((CSCUL,(LRECL,((SMIMO,(LHESP,PTEPI)<1>)<2>,((MOCCI*,ISCAP*)<3>,TURTI*)<4>)<5>)<6>)<7>,((MOCCI+,ISCAP+)<8>,TURTI+)<9>)<10>	71474
MT-130	<6>	<1>	((CSCUL,(LRECL,(SMIMO,((LHESP,PTEPI)<1>,((MOCCI*,ISCAP*)<2>,TURTI*)<3>)<4>)<5>)<6>)<7>,((MOCCI+,ISCAP+)<8>,TURTI+)<9>)<10>	72539
MT-131	<6>	<7>	(((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,((MOCCI+,ISCAP+)<5>,TURTI+)<6>)<7>,((MOCCI*,ISCAP*)<8>,TURTI*)<9>)<10>	66897
MT-132	<6>	CSCUL	(((CSCUL,((MOCCI*,ISCAP*)<1>,TURTI*)<2>)<3>,(LRECL,(SMIMO,(LHESP,PTEPI)<4>)<5>)<6>)<7>,((MOCCI+,ISCAP+)<8>,TURTI+)<9>)<10>	69407
MT-133	<6>	<6>	((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,(((MOCCI+,ISCAP+)<5>,TURTI+)<6>,((MOCCI*,ISCAP*)<7>,TURTI*)<8>)<9>)<10>	72723
MT-134	<6>	SMIMO	((CSCUL,(LRECL,((SMIMO,((MOCCI*,ISCAP*)<1>,TURTI*)<2>)<3>,(LHESP,PTEPI)<4>)<5>)<6>)<7>,((MOCCI+,ISCAP+)<8>,TURTI+)<9>)<10>	70653
MT-135	<6>	<4>	(((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,((MOCCI*,ISCAP*)<5>,TURTI*)<6>)<7>,((MOCCI+,ISCAP+)<8>,TURTI+)<9>)<10>	66897
MT-136	SMIMO	TURTI	((CSCUL,(LRECL,(SMIMO+,(LHESP,PTEPI)<1>)<2>)<3>)<4>,((MOCCI,ISCAP)<5>,(TURTI,SMIMO*)<6>)<7>)<8>	67543
MT-137	SMIMO	LHESP	((CSCUL,(LRECL,(SMIMO+,((LHESP,SMIMO*)<1>,PTEPI)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	68702
MT-138	SMIMO	<3>	((CSCUL,((LRECL,(SMIMO+,(LHESP,PTEPI)<1>)<2>)<3>,SMIMO*)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	71960
MT-139	SMIMO	LRECL	((CSCUL,((LRECL,SMIMO*)<1>,(SMIMO+,(LHESP,PTEPI)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	68126
MT-140	SMIMO	PTEPI	((CSCUL,(LRECL,(SMIMO+,(LHESP,(PTEPI,SMIMO*)<1>)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	71331
MT-141	SMIMO	<2>	((CSCUL,(LRECL,((SMIMO+,(LHESP,PTEPI)<1>)<2>,SMIMO*)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	72165
MT-142	SMIMO	<1>	((CSCUL,(LRECL,(SMIMO+,((LHESP,PTEPI)<1>,SMIMO*)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	72165
MT-143	SMIMO	<7>	(((CSCUL,(LRECL,(SMIMO+,(LHESP,PTEPI)<1>)<2>)<3>)<4>,((MOCCI,ISCAP)<5>,TURTI)<6>)<7>,SMIMO*)<8>	69892
MT-144	SMIMO	CSCUL	(((CSCUL,SMIMO*)<1>,(LRECL,(SMIMO+,(LHESP,PTEPI)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	71243
MT-145	SMIMO	MOCCI	((CSCUL,(LRECL,(SMIMO+,(LHESP,PTEPI)<1>)<2>)<3>)<4>,(((MOCCI,SMIMO*)<5>,ISCAP)<6>,TURTI)<7>)<8>	68260
MT-146	SMIMO	<6>	((CSCUL,(LRECL,(SMIMO+,(LHESP,PTEPI)<1>)<2>)<3>)<4>,(((MOCCI,ISCAP)<5>,TURTI)<6>,SMIMO*)<7>)<8>	72343
MT-147	SMIMO	SMIMO	((CSCUL,(LRECL,((SMIMO+,SMIMO*)<1>,(LHESP,PTEPI)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	70707
MT-148	SMIMO	<4>	(((CSCUL,(LRECL,(SMIMO+,(LHESP,PTEPI)<1>)<2>)<3>)<4>,SMIMO*)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	72727
MT-149	SMIMO	<5>	((CSCUL,(LRECL,(SMIMO+,(LHESP,PTEPI)<1>)<2>)<3>)<4>,(((MOCCI,ISCAP)<5>,SMIMO*)<6>,TURTI)<7>)<8>	71035
MT-150	SMIMO	ISCAP	((CSCUL,(LRECL,(SMIMO+,(LHESP,PTEPI)<1>)<2>)<3>)<4>,((MOCCI,(ISCAP,SMIMO*)<5>)<6>,TURTI)<7>)<8>	69150
MT-151	<4>	TURTI	((CSCUL+,(LRECL+,(SMIMO+,(LHESP+,PTEPI+)<1>)<2>)<3>)<4>,((MOCCI,ISCAP)<5>,(TURTI,(CSCUL*,(LRECL*,(SMIMO*,(LHESP*,PTEPI*)<6>)<7>)<8>)<9>)<10>)<11>)<12>	64118
MT-152	<4>	<7>	(((CSCUL+,(LRECL+,(SMIMO+,(LHESP+,PTEPI+)<1>)<2>)<3>)<4>,((MOCCI,ISCAP)<5>,TURTI)<6>)<7>,(CSCUL*,(LRECL*,(SMIMO*,(LHESP*,PTEPI*)<8>)<9>)<10>)<11>)<12>	65579
MT-153	<4>	MOCCI	((CSCUL+,(LRECL+,(SMIMO+,(LHESP+,PTEPI+)<1>)<2>)<3>)<4>,(((MOCCI,(CSCUL*,(LRECL*,(SMIMO*,(LHESP*,PTEPI*)<5>)<6>)<7>)<8>)<9>,ISCAP)<10>,TURTI)<11>)<12>	65590
MT-154	<4>	<6>	((CSCUL+,(LRECL+,(SMIMO+,(LHESP+,PTEPI+)<1>)<2>)<3>)<4>,(((MOCCI,ISCAP)<5>,TURTI)<6>,(CSCUL*,(LRECL*,(SMIMO*,(LHESP*,PTEPI*)<7>)<8>)<9>)<10>)<11>)<12>	65579
MT-155	<4>	<4>	(((CSCUL+,(LRECL+,(SMIMO+,(LHESP+,PTEPI+)<1>)<2>)<3>)<4>,(CSCUL*,(LRECL*,(SMIMO*,(LHESP*,PTEPI*)<5>)<6>)<7>)<8>)<9>,((MOCCI,ISCAP)<10>,TURTI)<11>)<12>	71191
MT-156	<4>	<5>	((CSCUL+,(LRECL+,(SMIMO+,(LHESP+,PTEPI+)<1>)<2>)<3>)<4>,(((MOCCI,ISCAP)<5>,(CSCUL*,(LRECL*,(SMIMO*,(LHESP*,PTEPI*)<6>)<7>)<8>)<9>)<10>,TURTI)<11>)<12>	65562
MT-157	<4>	ISCAP	((CSCUL+,(LRECL+,(SMIMO+,(LHESP+,PTEPI+)<1>)<2>)<3>)<4>,((MOCCI,(ISCAP,(CSCUL*,(LRECL*,(SMIMO*,(LHESP*,PTEPI*)<5>)<6>)<7>)<8>)<9>)<10>,TURTI)<11>)<12>	65484
MT-158	<5>	TURTI	((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,((MOCCI+,ISCAP+)<5>,(TURTI,(MOCCI*,ISCAP*)<6>)<7>)<8>)<9>	67502
MT-159	<5>	LHESP	((CSCUL,(LRECL,(SMIMO,((LHESP,(MOCCI*,ISCAP*)<1>)<2>,PTEPI)<3>)<4>)<5>)<6>,((MOCCI+,ISCAP+)<7>,TURTI)<8>)<9>	68797
MT-160	<5>	<3>	((CSCUL,((LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>,(MOCCI*,ISCAP*)<4>)<5>)<6>,((MOCCI+,ISCAP+)<7>,TURTI)<8>)<9>	70312
MT-161	<5>	LRECL	((CSCUL,((LRECL,(MOCCI*,ISCAP*)<1>)<2>,(SMIMO,(LHESP,PTEPI)<3>)<4>)<5>)<6>,((MOCCI+,ISCAP+)<7>,TURTI)<8>)<9>	67392
MT-162	<5>	PTEPI	((CSCUL,(LRECL,(SMIMO,(LHESP,(PTEPI,(MOCCI*,ISCAP*)<1>)<2>)<3>)<4>)<5>)<6>,((MOCCI+,ISCAP+)<7>,TURTI)<8>)<9>	71622
MT-163	<5>	<2>	((CSCUL,(LRECL,((SMIMO,(LHESP,PTEPI)<1>)<2>,(MOCCI*,ISCAP*)<3>)<4>)<5>)<6>,((MOCCI+,ISCAP+)<7>,TURTI)<8>)<9>	71511
MT-164	<5>	<1>	((CSCUL,(LRECL,(SMIMO,((LHESP,PTEPI)<1>,(MOCCI*,ISCAP*)<2>)<3>)<4>)<5>)<6>,((MOCCI+,ISCAP+)<7>,TURTI)<8>)<9>	72486
MT-165	<5>	<7>	(((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,((MOCCI+,ISCAP+)<5>,TURTI)<6>)<7>,(MOCCI*,ISCAP*)<8>)<9>	66331
MT-166	<5>	CSCUL	(((CSCUL,(MOCCI*,ISCAP*)<1>)<2>,(LRECL,(SMIMO,(LHESP,PTEPI)<3>)<4>)<5>)<6>,((MOCCI+,ISCAP+)<7>,TURTI)<8>)<9>	69138
MT-167	<5>	<6>	((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,(((MOCCI+,ISCAP+)<5>,TURTI)<6>,(MOCCI*,ISCAP*)<7>)<8>)<9>	67502
MT-168	<5>	SMIMO	((CSCUL,(LRECL,((SMIMO,(MOCCI*,ISCAP*)<1>)<2>,(LHESP,PTEPI)<3>)<4>)<5>)<6>,((MOCCI+,ISCAP+)<7>,TURTI)<8>)<9>	70606
MT-169	<5>	<4>	(((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,(MOCCI*,ISCAP*)<5>)<6>,((MOCCI+,ISCAP+)<7>,TURTI)<8>)<9>	66343
MT-170	<5>	<5>	((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,(((MOCCI+,ISCAP+)<5>,(MOCCI*,ISCAP*)<6>)<7>,TURTI)<8>)<9>	70823
MT-171	ISCAP	TURTI	((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,((MOCCI,ISCAP+)<5>,(TURTI,ISCAP*)<6>)<7>)<8>	67149
MT-172	ISCAP	LHESP	((CSCUL,(LRECL,(SMIMO,((LHESP,ISCAP*)<1>,PTEPI)<2>)<3>)<4>)<5>,((MOCCI,ISCAP+)<6>,TURTI)<7>)<8>	68850
MT-173	ISCAP	<3>	((CSCUL,((LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>,ISCAP*)<4>)<5>,((MOCCI,ISCAP+)<6>,TURTI)<7>)<8>	70791
MT-174	ISCAP	LRECL	((CSCUL,((LRECL,ISCAP*)<1>,(SMIMO,(LHESP,PTEPI)<2>)<3>)<4>)<5>,((MOCCI,ISCAP+)<6>,TURTI)<7>)<8>	67539
MT-175	ISCAP	PTEPI	((CSCUL,(LRECL,(SMIMO,(LHESP,(PTEPI,ISCAP*)<1>)<2>)<3>)<4>)<5>,((MOCCI,ISCAP+)<6>,TURTI)<7>)<8>	71716
MT-176	ISCAP	<2>	((CSCUL,(LRECL,((SMIMO,(LHESP,PTEPI)<1>)<2>,ISCAP*)<3>)<4>)<5>,((MOCCI,ISCAP+)<6>,TURTI)<7>)<8>	71989
MT-177	ISCAP	<1>	((CSCUL,(LRECL,(SMIMO,((LHESP,PTEPI)<1>,ISCAP*)<2>)<3>)<4>)<5>,((MOCCI,ISCAP+)<6>,TURTI)<7>)<8>	72652
MT-178	ISCAP	<7>	(((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,((MOCCI,ISCAP+)<5>,TURTI)<6>)<7>,ISCAP*)<8>	67342
MT-179	ISCAP	CSCUL	(((CSCUL,ISCAP*)<1>,(LRECL,(SMIMO,(LHESP,PTEPI)<2>)<3>)<4>)<5>,((MOCCI,ISCAP+)<6>,TURTI)<7>)<8>	69239
MT-180	ISCAP	MOCCI	((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,(((MOCCI,ISCAP*)<5>,ISCAP+)<6>,TURTI)<7>)<8>	68113
MT-181	ISCAP	<6>	((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,(((MOCCI,ISCAP+)<5>,TURTI)<6>,ISCAP*)<7>)<8>	67304
MT-182	ISCAP	SMIMO	((CSCUL,(LRECL,((SMIMO,ISCAP*)<1>,(LHESP,PTEPI)<2>)<3>)<4>)<5>,((MOCCI,ISCAP+)<6>,TURTI)<7>)<8>	70698
MT-183	ISCAP	<4>	(((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,ISCAP*)<5>,((MOCCI,ISCAP+)<6>,TURTI)<7>)<8>	68082
MT-184	ISCAP	<5>	((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,(((MOCCI,ISCAP+)<5>,ISCAP*)<6>,TURTI)<7>)<8>	68113
MT-185	ISCAP	ISCAP	((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,((MOCCI,(ISCAP+,ISCAP*)<5>)<6>,TURTI)<7>)<8>	68388
# ---------
The tree with the minimum parsimony score is the singly-labled tree (ST):	((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,((MOCCI,ISCAP)<5>,TURTI)<6>)<7>
Score = 62584
# LOG: Total execution time: 2197.889 seconds.
# =========================================================================
